EmployeeID,Age,Gender,Department,JobRole,EducationLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,TrainingTimesLastYear,OverTime,MonthlyIncome,DistanceFromHome,Attrition
2125,51,Male,Marketing,Engineer,1,3,2,3,2,9,2,0,Yes,19412,20,No
2126,53,Male,Marketing,Manager,4,4,2,2,2,2,3,5,Yes,14197,18,No
2127,31,Female,Sales,Executive,3,3,4,1,2,11,8,0,Yes,18017,24,No
2128,48,Female,IT,Analyst,5,2,2,3,4,11,6,2,Yes,18637,9,No
2129,29,Male,Operations,Manager,2,3,3,4,3,17,6,4,No,9394,21,No
2130,57,Female,IT,Executive,2,3,2,2,3,7,2,3,No,4511,14,No
2131,56,Male,Sales,Manager,2,3,3,4,1,10,6,0,No,18966,3,No
2132,57,Female,HR,Executive,5,3,2,4,3,6,8,4,No,16550,28,No
2133,57,Male,Sales,Coordinator,5,2,2,4,2,18,9,1,Yes,5198,27,No
2134,46,Male,HR,Executive,4,4,3,3,4,14,8,2,Yes,4005,15,No
2135,41,Female,IT,Manager,5,3,1,2,3,19,9,1,No,18742,28,Yes
2136,38,Female,Marketing,Analyst,2,3,4,4,4,13,0,5,Yes,13622,28,No
2137,44,Female,Operations,Manager,2,4,2,1,2,9,8,5,No,15406,11,No
2138,46,Male,Operations,Manager,5,4,1,3,3,15,2,1,No,19451,17,Yes
2139,52,Male,Finance,Coordinator,5,4,2,4,1,17,5,2,No,12989,1,No
2140,27,Female,IT,Analyst,4,2,2,4,1,14,1,3,Yes,17089,20,No
2141,56,Male,Finance,Coordinator,1,4,2,2,2,16,3,4,No,3286,18,No
2142,25,Female,Marketing,Manager,5,3,3,4,4,16,2,1,No,19781,20,No
2143,41,Male,IT,Coordinator,1,2,2,4,2,11,5,1,No,13869,13,No
2144,22,Male,Marketing,Engineer,3,4,1,4,3,0,0,4,Yes,13629,9,Yes
2145,47,Female,HR,Engineer,1,2,2,2,4,13,3,1,No,9628,19,No
2146,55,Female,IT,Engineer,5,4,2,4,4,16,0,2,Yes,4651,12,No
2147,31,Male,IT,Executive,2,1,2,1,4,4,0,4,Yes,5523,17,No
2148,44,Male,HR,Specialist,2,3,3,3,4,3,3,0,No,12216,17,No
2149,45,Male,R&D,Coordinator,5,1,3,4,3,1,4,0,Yes,14600,28,No
2150,34,Male,Marketing,Manager,4,4,1,2,4,19,6,3,Yes,6258,4,No
2151,50,Female,R&D,Specialist,5,2,3,1,4,4,7,5,Yes,11089,25,No
2152,48,Female,IT,Coordinator,5,3,2,3,2,2,2,1,No,3145,29,No
2153,52,Female,R&D,Engineer,4,3,3,2,1,17,2,2,Yes,10781,19,Yes
2154,31,Male,Operations,Analyst,4,3,4,2,4,12,9,4,No,6095,20,No
2155,52,Male,IT,Engineer,3,3,3,3,1,12,3,5,No,9894,4,No
2156,31,Male,Sales,Manager,3,1,2,3,4,11,5,5,No,18566,26,No
2157,45,Male,HR,Specialist,3,3,2,2,4,3,1,1,No,13309,20,No
2158,54,Female,Finance,Specialist,4,3,4,1,2,6,5,5,No,18486,15,No
2159,35,Female,HR,Coordinator,1,4,3,1,1,5,5,2,No,17421,29,No
2160,56,Female,IT,Executive,5,3,2,1,2,7,1,2,Yes,17372,13,No
2161,55,Male,Sales,Analyst,3,3,3,3,3,4,4,0,No,6311,20,No
2162,38,Female,HR,Engineer,1,3,3,4,1,5,6,0,No,12627,11,No
2163,42,Female,Finance,Analyst,5,4,2,2,1,4,8,2,No,14710,11,No
2164,53,Female,Finance,Manager,1,1,1,1,2,18,2,1,No,14720,20,Yes
2165,24,Female,Sales,Executive,2,2,3,4,4,8,6,4,No,4565,20,No
2166,36,Male,Finance,Engineer,2,3,4,3,4,17,2,3,No,18400,21,No
2167,29,Male,Operations,Manager,5,3,1,2,3,7,1,1,Yes,18623,7,No
2168,53,Female,Finance,Analyst,1,3,1,4,4,0,3,2,No,18623,18,No
2169,59,Female,Marketing,Executive,1,3,3,2,1,13,7,4,No,8128,15,No
2170,47,Female,Sales,Engineer,4,2,4,3,1,8,4,3,No,18594,20,No
2171,51,Female,Sales,Analyst,3,2,3,3,3,6,7,2,Yes,19536,11,No
2172,30,Female,HR,Engineer,5,2,2,1,3,9,5,4,No,12279,7,No
2173,53,Male,Finance,Executive,1,3,2,2,2,16,0,4,No,15034,12,No
2174,32,Female,Finance,Executive,3,4,1,2,1,10,2,3,Yes,8624,25,Yes
2175,43,Female,IT,Analyst,5,3,4,4,1,16,7,2,Yes,9623,5,No
2176,55,Female,IT,Engineer,1,4,4,2,3,13,3,5,No,15826,21,No
2177,39,Male,Sales,Specialist,2,2,1,2,3,13,1,0,No,16437,8,Yes
2178,40,Male,IT,Manager,1,2,3,4,1,7,7,1,No,5546,10,No
2179,39,Male,HR,Executive,2,1,3,1,3,17,4,5,No,14329,23,No
2180,58,Male,Marketing,Engineer,2,3,2,2,4,18,0,5,No,5676,3,No
2181,39,Male,HR,Analyst,4,1,3,4,2,17,7,3,Yes,9993,28,No
2182,33,Female,Operations,Analyst,4,3,3,3,4,16,8,1,No,5106,2,No
2183,25,Female,Marketing,Executive,3,1,4,1,2,17,7,3,No,17103,6,No
2184,48,Male,Operations,Coordinator,5,3,1,4,3,13,0,0,No,15438,11,No
2185,26,Male,Sales,Executive,3,3,3,2,1,7,5,1,No,17128,21,No
2186,27,Male,HR,Coordinator,4,2,1,1,4,17,5,4,No,12409,16,No
2187,34,Female,HR,Specialist,3,3,4,1,4,8,6,5,No,10740,9,No
2188,44,Male,Operations,Analyst,5,3,1,1,3,0,0,4,Yes,6048,12,No
2189,46,Male,Marketing,Engineer,5,2,2,3,4,5,7,1,Yes,10231,8,No
2190,25,Male,IT,Coordinator,1,4,2,4,1,5,3,2,Yes,17241,27,Yes
2191,53,Female,Operations,Manager,3,3,1,1,2,5,3,4,No,5414,3,No
2192,36,Male,Sales,Manager,4,1,3,2,4,6,9,3,No,16115,12,No
2193,47,Female,Marketing,Specialist,1,3,3,2,2,16,3,2,Yes,13018,13,No
2194,32,Female,HR,Coordinator,3,2,3,2,2,8,5,3,No,18412,7,No
2195,30,Female,Sales,Coordinator,5,4,4,1,1,10,5,0,No,12593,10,No
2196,32,Female,Operations,Engineer,4,3,1,2,3,17,5,5,Yes,9911,28,Yes
2197,23,Female,Finance,Manager,3,3,2,1,1,12,1,4,Yes,12339,11,No
2198,48,Male,Operations,Manager,5,1,3,4,1,13,4,0,Yes,19454,13,No
2199,47,Female,HR,Engineer,5,4,1,1,2,4,1,5,No,13380,28,Yes
2200,29,Female,Sales,Coordinator,3,2,4,1,3,6,5,2,No,13866,18,No
2201,42,Female,IT,Engineer,3,3,2,4,1,2,6,3,No,9732,29,No
2202,42,Male,IT,Executive,4,3,4,2,3,11,5,4,No,18668,14,No
2203,29,Female,HR,Manager,1,3,3,1,1,6,2,1,No,14280,22,No
2204,22,Female,Operations,Coordinator,5,4,1,4,1,6,9,0,No,4208,14,Yes
2205,59,Female,Operations,Manager,1,4,1,3,2,10,9,4,No,5125,17,No
2206,34,Male,R&D,Specialist,1,2,4,4,2,9,4,1,No,15150,15,No
2207,30,Female,Operations,Executive,5,3,2,3,2,1,8,5,Yes,19786,9,No
2208,49,Female,HR,Executive,3,1,2,4,3,11,5,2,No,5210,2,No
2209,27,Female,Marketing,Manager,5,3,4,1,1,8,2,5,Yes,7241,23,No
2210,44,Female,Marketing,Analyst,1,3,3,2,4,5,8,1,No,17163,15,No
2211,57,Female,Sales,Analyst,4,3,2,1,2,13,4,5,No,4828,4,No
2212,38,Female,Sales,Engineer,5,3,1,1,3,7,0,2,No,18766,21,Yes
2213,30,Female,R&D,Executive,4,3,4,3,3,15,9,0,No,3458,15,No
2214,33,Male,IT,Manager,3,3,3,2,1,15,2,1,Yes,5182,3,Yes
2215,43,Male,HR,Coordinator,3,3,1,2,4,0,2,3,No,3406,18,Yes
2216,33,Male,Operations,Manager,4,2,1,1,4,9,1,5,No,15890,16,Yes
2217,27,Female,Finance,Manager,4,3,1,4,4,18,1,5,No,5196,11,Yes
2218,30,Male,Sales,Coordinator,5,2,1,4,4,6,8,3,No,13553,1,No
2219,58,Female,HR,Coordinator,3,3,3,2,2,5,2,3,Yes,11159,23,No
2220,24,Male,Marketing,Specialist,4,3,1,1,4,3,9,2,No,3945,12,No
2221,55,Male,R&D,Analyst,2,2,4,1,2,8,3,5,No,5715,16,No
2222,29,Female,Finance,Specialist,5,2,4,3,4,3,5,1,No,10268,10,No
2223,31,Female,IT,Manager,5,3,4,2,2,10,9,4,No,10233,11,No
2224,30,Female,HR,Manager,2,3,2,4,2,2,8,1,No,17705,25,No
2225,35,Female,Operations,Executive,3,3,4,4,4,11,0,1,No,9664,10,No
2226,58,Female,IT,Executive,4,3,4,2,3,2,2,5,No,3742,27,No
2227,48,Male,Marketing,Analyst,4,3,1,3,4,6,2,5,Yes,13094,12,No
2228,53,Female,Sales,Coordinator,3,3,1,4,2,2,5,0,No,5108,10,Yes
2229,25,Male,Marketing,Engineer,2,3,3,2,2,3,8,4,No,15867,1,No
2230,23,Male,Operations,Manager,2,3,3,1,3,4,8,3,No,3469,26,No
2231,54,Female,R&D,Executive,2,3,4,2,1,17,4,2,Yes,7485,10,Yes
2232,42,Male,Sales,Analyst,5,3,4,2,1,3,8,4,Yes,19483,20,Yes
2233,22,Male,Finance,Specialist,4,3,3,2,3,4,5,3,Yes,19851,6,No
2234,32,Female,Sales,Manager,1,3,2,1,3,18,4,2,No,7082,10,No
2235,22,Female,Marketing,Engineer,5,3,4,2,4,3,7,4,Yes,9027,16,No
2236,32,Male,Operations,Analyst,5,3,4,1,2,11,6,2,No,5362,17,No
2237,28,Male,IT,Coordinator,4,1,1,4,1,13,6,2,No,6904,26,No
2238,23,Male,HR,Engineer,3,3,1,3,4,11,3,3,No,15072,21,Yes
2239,36,Female,Marketing,Manager,4,3,4,1,1,12,9,0,No,14778,22,No
2240,29,Female,HR,Analyst,3,2,2,3,4,4,0,3,Yes,11317,8,No
2241,47,Female,HR,Coordinator,4,3,2,3,2,0,4,4,No,15919,11,No
2242,56,Male,Marketing,Executive,5,3,3,4,4,18,8,3,No,17431,3,No
2243,42,Female,Marketing,Engineer,2,2,2,1,2,13,7,3,No,8294,13,No
2244,59,Female,Marketing,Specialist,5,2,2,4,4,8,3,3,Yes,14739,26,No
2245,29,Male,R&D,Specialist,5,2,3,1,2,8,9,5,Yes,11416,20,No
2246,53,Male,R&D,Engineer,1,3,2,3,4,13,8,5,Yes,14161,13,No
2247,29,Male,HR,Manager,5,2,3,3,4,19,5,5,Yes,7348,13,No
2248,31,Female,Finance,Manager,5,3,1,2,2,0,6,4,No,19014,6,Yes
2249,44,Female,Operations,Manager,5,3,3,1,3,14,9,4,Yes,15588,27,No
2250,25,Female,Finance,Specialist,1,3,4,3,3,10,9,2,Yes,12416,11,No
2251,59,Female,Marketing,Specialist,3,4,2,1,4,17,9,2,Yes,18828,27,No
2252,51,Female,Marketing,Executive,1,4,2,4,2,19,7,4,No,11595,7,No
2253,44,Female,HR,Manager,2,3,3,4,1,8,0,5,No,13522,8,No
2254,26,Female,Operations,Specialist,3,1,4,1,1,4,3,2,Yes,7800,10,Yes
2255,42,Male,R&D,Specialist,1,2,2,3,1,14,5,3,Yes,14016,8,Yes
2256,27,Female,Sales,Manager,2,4,1,4,1,14,3,1,Yes,7025,14,Yes
2257,38,Female,Sales,Manager,2,2,3,3,1,1,2,5,No,11498,19,No
2258,46,Male,Operations,Specialist,4,4,4,1,2,0,4,5,No,7005,29,No
2259,45,Male,Finance,Coordinator,4,3,3,2,4,1,3,5,No,12811,17,No
2260,43,Male,Operations,Engineer,5,2,2,3,1,0,4,1,No,10544,20,No
2261,34,Male,Finance,Specialist,3,4,2,4,3,18,1,2,Yes,5706,2,No
2262,38,Female,Marketing,Executive,1,4,2,1,3,14,2,2,Yes,4405,26,No
2263,35,Female,IT,Analyst,5,3,3,2,1,11,7,0,No,14480,3,No
2264,55,Male,Finance,Coordinator,3,3,4,4,3,6,7,3,No,16442,26,No
2265,47,Male,Sales,Manager,4,3,3,1,2,12,9,3,Yes,16670,7,No
2266,40,Female,R&D,Executive,1,3,2,1,1,0,7,0,Yes,19847,1,No
2267,47,Male,HR,Engineer,2,3,3,3,4,9,2,0,Yes,6389,13,No
2268,24,Male,Marketing,Analyst,2,3,1,2,2,18,0,1,No,4280,5,Yes
2269,23,Female,R&D,Coordinator,5,1,4,1,3,4,1,3,No,3522,10,No
2270,49,Male,HR,Specialist,5,2,2,2,1,5,2,3,Yes,9016,27,Yes
2271,23,Female,IT,Manager,1,2,3,2,2,4,1,5,No,12324,14,No
2272,43,Male,Sales,Specialist,2,3,1,3,2,16,2,4,Yes,6917,10,No
2273,28,Female,Marketing,Executive,5,3,2,1,2,6,6,3,No,9381,2,No
2274,25,Male,HR,Manager,2,2,3,1,2,2,4,1,Yes,7831,12,No
2275,59,Female,IT,Specialist,4,3,2,3,2,19,4,1,No,17713,23,No
2276,41,Female,Marketing,Manager,5,2,4,3,3,3,1,5,No,3388,15,No
2277,27,Male,Finance,Executive,3,3,2,1,1,7,8,0,Yes,17986,4,No
2278,30,Male,Operations,Specialist,5,4,2,3,2,12,8,1,No,13709,14,No
2279,52,Male,Marketing,Analyst,4,4,4,1,2,2,0,1,No,3030,21,No
2280,47,Male,Marketing,Engineer,1,4,3,4,3,8,7,5,Yes,12488,27,No
2281,57,Male,HR,Specialist,2,3,1,2,4,8,7,4,No,6601,21,No
2282,47,Female,R&D,Manager,1,3,1,2,1,9,8,1,No,12468,8,No
2283,49,Female,Sales,Coordinator,5,4,4,3,1,17,1,2,Yes,14892,18,Yes
2284,26,Female,Sales,Specialist,3,1,2,4,4,2,5,2,Yes,4871,14,No
2285,31,Female,Marketing,Manager,1,4,3,2,1,11,1,0,No,14920,21,No
2286,39,Male,Marketing,Coordinator,3,3,3,1,1,1,0,3,No,11361,4,No
2287,36,Female,IT,Executive,5,3,4,2,4,11,6,3,No,10409,1,No
2288,54,Female,Operations,Coordinator,3,3,3,2,1,8,2,4,No,15224,14,No
2289,26,Female,Finance,Engineer,3,3,1,2,3,1,7,1,No,16563,17,No
2290,58,Male,Marketing,Manager,4,4,3,1,2,14,2,5,No,7611,24,No
2291,43,Male,Finance,Specialist,1,2,2,3,1,6,1,1,No,19522,16,No
2292,43,Female,Sales,Coordinator,5,3,3,1,1,6,7,5,No,5188,2,No
2293,43,Male,Finance,Executive,4,3,4,3,2,7,7,1,Yes,3777,26,No
2294,36,Female,Marketing,Coordinator,3,3,4,2,2,14,9,1,No,10019,26,No
2295,38,Male,Marketing,Analyst,4,3,1,2,1,11,0,1,No,9871,23,Yes
2296,49,Male,IT,Specialist,4,4,1,4,3,19,0,2,No,15904,13,Yes
2297,43,Male,Operations,Engineer,3,3,1,2,2,19,9,4,Yes,18017,6,Yes
2298,42,Female,Sales,Executive,5,3,1,1,2,5,2,0,No,18194,14,No
2299,38,Male,Finance,Specialist,2,3,3,2,4,5,9,0,Yes,16134,5,No
2300,26,Female,HR,Manager,4,3,3,4,3,15,3,5,Yes,12879,23,No
2301,39,Male,HR,Manager,1,3,4,1,2,4,7,2,Yes,3764,12,No
2302,38,Female,IT,Manager,3,4,4,4,2,2,7,1,Yes,10234,13,No
2303,25,Female,Finance,Specialist,2,2,1,4,1,13,7,1,Yes,16798,16,Yes
2304,28,Female,HR,Engineer,4,1,3,1,2,17,6,3,No,14551,7,No
2305,46,Female,Operations,Manager,3,3,2,3,2,0,0,5,No,5691,12,No
2306,58,Female,R&D,Specialist,3,3,1,3,4,16,0,0,No,11192,15,Yes
2307,30,Female,Operations,Specialist,4,3,1,3,3,11,4,3,No,17727,17,Yes
2308,40,Male,IT,Engineer,1,4,3,3,2,4,4,5,Yes,8421,5,No
2309,30,Female,Operations,Executive,3,2,2,4,3,1,4,0,No,3139,12,Yes
2310,44,Male,Finance,Executive,3,3,1,4,3,6,0,3,Yes,14392,26,No
2311,52,Female,Marketing,Specialist,4,4,2,1,3,16,2,1,No,7301,8,No
2312,53,Female,Operations,Executive,2,4,4,1,4,19,0,1,No,10640,9,No
2313,52,Male,Finance,Analyst,3,3,4,3,2,3,1,1,Yes,3667,12,No
2314,38,Female,Sales,Engineer,3,3,1,3,4,1,7,4,No,6135,22,No
2315,43,Male,Finance,Specialist,4,4,3,3,3,18,3,3,No,8543,14,No
2316,56,Female,IT,Executive,3,3,1,3,1,17,3,4,Yes,6126,8,Yes
2317,51,Male,Finance,Coordinator,4,3,3,3,2,17,4,4,No,5390,24,No
2318,58,Male,Sales,Executive,1,3,2,4,2,12,1,3,No,8947,28,No
2319,47,Female,Marketing,Engineer,4,2,3,4,3,6,8,1,Yes,18979,20,No
2320,27,Male,R&D,Coordinator,2,3,3,4,3,17,9,2,Yes,19612,9,No
