employeeid,age,gender,department,jobrole,educationlevel,performancerating,jobsatisfaction,environmentsatisfaction,worklifebalance,yearsatcompany,yearsincurrentrole,trainingtimeslastyear,overtime,monthlyincome,distancefromhome,attrition,attrition_flag,age_bin,income_bin,distance_bin,tenure_bin,low_job_satisfaction,poor_work_life,long_role_stagnation,long_commute,attrition_probability,attrition_risk_score
2019,46,Male,HR,Manager,3,4,3,1,3,15,5,4,Yes,19285,16,No,0,"(40, 50]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.12849351043590673,12.8
2020,38,Male,Operations,Coordinator,3,1,3,2,1,14,7,0,Yes,13530,21,No,0,"(30, 40]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.24188535671241077,24.2
2021,35,Male,Operations,Specialist,5,2,3,3,2,4,5,5,No,14188,11,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(2, 5]",0,1,1,0,0.06941767052335865,6.9
2022,34,Female,R&D,Specialist,3,3,4,2,4,11,6,4,No,13300,1,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.00427892460319307,0.4
2023,59,Male,Operations,Engineer,4,3,4,2,2,10,2,4,No,19428,28,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(5, 10]",0,1,0,1,0.00885065822590575,0.9
2024,23,Male,Finance,Executive,2,3,3,2,4,10,1,5,Yes,3640,20,No,0,"(18, 30]","(2999.999, 7292.0]","(15.0, 22.0]","(5, 10]",0,0,0,1,0.07640640509757872,7.6
2025,53,Female,R&D,Engineer,3,2,4,1,3,12,3,2,Yes,10072,16,No,0,"(50, 65]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.023786112623536155,2.4
2026,53,Female,Marketing,Manager,5,3,3,4,4,8,3,5,No,6962,27,No,0,"(50, 65]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",0,0,1,1,0.04147633763377901,4.1
2027,27,Female,Operations,Coordinator,1,3,3,4,2,15,4,5,No,14626,6,No,0,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.06050622596337351,6.1
2028,46,Male,Sales,Engineer,2,3,3,1,4,15,6,0,No,4213,12,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.027750060300288357,2.8
2029,24,Female,Marketing,Executive,5,4,1,1,3,0,2,3,No,15693,24,Yes,1,"(18, 30]","(11588.5, 15743.5]","(22.0, 29.0]",,1,0,0,1,0.4397869234069607,44.0
2030,39,Female,Finance,Specialist,5,3,2,4,3,18,5,5,No,16106,10,No,0,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.05505269248300051,5.5
2031,59,Female,Marketing,Specialist,2,3,1,1,4,18,7,1,Yes,18414,24,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.39763353056813155,39.8
2032,24,Female,Marketing,Manager,5,2,3,1,1,3,7,5,Yes,14802,28,Yes,1,"(18, 30]","(11588.5, 15743.5]","(22.0, 29.0]","(2, 5]",0,1,1,1,0.2910287817809193,29.1
2033,26,Male,R&D,Analyst,1,4,4,1,3,4,8,5,No,11107,22,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(2, 5]",0,0,1,1,0.007394151461685327,0.7
2034,45,Female,Finance,Engineer,1,3,4,1,4,2,1,2,No,11526,16,No,0,"(40, 50]","(7292.0, 11588.5]","(15.0, 22.0]","(0, 2]",0,0,0,1,0.007605747846752721,0.8
2035,55,Female,R&D,Manager,3,3,1,4,3,18,3,1,No,11790,23,Yes,1,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.3884602345812485,38.8
2036,45,Male,Finance,Specialist,4,3,3,3,3,12,0,5,Yes,14835,1,No,0,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,0,0,0,0.122925302876905,12.3
2037,57,Male,Sales,Executive,3,2,2,3,3,12,6,0,No,9452,7,No,0,"(50, 65]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.061446625018204803,6.1
2038,49,Female,Marketing,Executive,4,3,2,4,3,18,5,5,No,8520,20,No,0,"(40, 50]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.053275525609235166,5.3
2039,55,Male,Operations,Coordinator,2,4,4,2,3,12,2,5,No,3352,1,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,0,0,0,0.006579147702065337,0.7
2040,37,Female,HR,Analyst,5,3,2,2,3,4,4,1,Yes,14888,8,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(2, 5]",1,0,1,0,0.17103124551308574,17.1
2041,57,Male,Marketing,Analyst,3,3,1,3,1,16,2,4,Yes,3569,16,Yes,1,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",1,1,0,1,0.6466684045834972,64.7
2042,28,Male,HR,Specialist,5,1,4,4,1,17,9,4,No,17800,13,No,0,"(18, 30]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.0120903174485559,1.2
2043,39,Female,HR,Analyst,3,4,2,3,3,11,6,4,Yes,4214,27,No,0,"(30, 40]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.11776224110895032,11.8
2044,27,Male,Marketing,Analyst,3,4,3,2,1,16,7,3,Yes,16042,10,Yes,1,"(18, 30]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.1402548664422642,14.0
2045,49,Male,R&D,Executive,1,3,2,3,3,17,7,4,No,4702,14,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.0466598706950571,4.7
2046,55,Female,Operations,Coordinator,4,3,1,3,3,0,8,4,No,15349,7,Yes,1,"(50, 65]","(11588.5, 15743.5]","(0.999, 8.0]",,1,0,1,0,0.4353227473662402,43.5
2047,50,Female,Marketing,Engineer,2,2,2,3,4,1,8,0,No,10377,28,Yes,1,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(0, 2]",1,0,1,1,0.05232565996348816,5.2
2048,25,Male,IT,Executive,5,2,2,2,2,12,3,4,No,6131,10,No,0,"(18, 30]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.05530138330858477,5.5
2049,35,Male,R&D,Coordinator,3,3,1,2,1,9,9,3,No,11520,12,Yes,1,"(30, 40]","(7292.0, 11588.5]","(8.0, 15.0]","(5, 10]",1,1,1,0,0.4994826609265293,49.9
2050,26,Female,Marketing,Executive,5,3,1,4,2,2,4,3,Yes,17111,8,No,0,"(18, 30]","(15743.5, 19999.0]","(0.999, 8.0]","(0, 2]",1,1,1,0,0.6044217259079185,60.4
2051,46,Male,Marketing,Specialist,1,3,1,1,3,14,8,2,No,4470,13,Yes,1,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.30315720346960495,30.3
2052,29,Female,R&D,Coordinator,2,3,3,2,4,0,4,3,No,11703,1,No,0,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]",,0,0,1,0,0.05336630016866518,5.3
2053,36,Male,Marketing,Coordinator,4,3,2,1,3,11,2,4,No,7646,14,No,0,"(30, 40]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,0,0,0,0.06571932005763478,6.6
2054,40,Male,R&D,Specialist,4,4,3,3,3,3,8,1,No,16457,24,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(2, 5]",0,0,1,1,0.056769886519542324,5.7
2055,32,Female,Marketing,Coordinator,3,2,3,1,4,1,7,2,No,8633,11,No,0,"(30, 40]","(7292.0, 11588.5]","(8.0, 15.0]","(0, 2]",0,0,1,0,0.05167640889403051,5.2
2056,41,Female,IT,Engineer,2,3,1,4,4,19,7,3,No,4679,27,No,0,"(40, 50]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.16408653178330057,16.4
2057,57,Male,Marketing,Manager,4,1,4,3,1,18,5,2,No,17770,10,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.015794434705899654,1.6
2058,39,Male,R&D,Analyst,2,3,3,4,4,18,1,0,Yes,17901,1,No,0,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",0,0,0,0,0.05901975448519717,5.9
2059,35,Male,Operations,Coordinator,5,3,2,1,1,19,5,4,No,6767,27,No,0,"(30, 40]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.0998887834458743,10.0
2060,59,Male,Marketing,Analyst,1,2,1,3,1,19,2,4,Yes,5919,15,Yes,1,"(50, 65]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,1,0,1,0.6693719351582174,66.9
2061,46,Female,HR,Executive,2,2,3,2,1,12,1,5,Yes,8614,10,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",0,1,0,0,0.25071306522245945,25.1
2062,37,Male,Finance,Executive,2,3,2,1,2,7,5,5,No,15775,9,No,0,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,1,1,0,0.07807514626623595,7.8
2063,39,Male,R&D,Coordinator,4,2,2,1,2,10,7,2,No,19710,13,No,0,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,1,1,0,0.08126450488058748,8.1
2064,22,Female,Marketing,Coordinator,3,2,2,3,1,7,6,3,No,8457,23,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",1,1,1,1,0.14520742670129733,14.5
2065,22,Female,Operations,Coordinator,3,1,3,3,1,11,3,1,No,14224,13,No,0,"(18, 30]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.15232417760976602,15.2
2066,22,Female,Sales,Engineer,5,2,1,4,2,16,7,3,Yes,15108,8,Yes,1,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.5208645853512371,52.1
2067,42,Male,Finance,Coordinator,4,3,1,2,1,7,7,2,No,11891,10,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",1,1,1,0,0.5452481966068159,54.5
2068,46,Female,R&D,Analyst,4,3,4,1,3,2,6,5,Yes,18706,14,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(0, 2]",0,0,1,0,0.022040623429156407,2.2
2069,48,Female,R&D,Executive,1,4,2,2,3,6,1,3,No,13259,5,No,0,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",1,0,0,0,0.07693364356040927,7.7
2070,31,Male,Marketing,Executive,3,3,1,2,4,12,3,2,No,11255,6,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.23140355967342327,23.1
2071,33,Female,Finance,Coordinator,4,4,4,2,1,17,2,4,Yes,11289,4,Yes,1,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,1,0,0,0.02770721199731439,2.8
2072,49,Female,Finance,Specialist,5,2,4,3,1,9,6,4,No,9467,12,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(5, 10]",0,1,1,0,0.016307474199699277,1.6
2073,53,Male,R&D,Manager,1,1,1,2,3,5,2,4,No,11398,9,Yes,1,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(2, 5]",1,0,0,0,0.50187883160629,50.2
2074,54,Female,Operations,Coordinator,3,4,1,4,1,3,6,2,No,15208,13,Yes,1,"(50, 65]","(11588.5, 15743.5]","(8.0, 15.0]","(2, 5]",1,1,1,0,0.5449372124745292,54.5
2075,29,Male,Sales,Engineer,3,3,1,2,3,12,7,5,No,10765,11,No,0,"(18, 30]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.3150300914181212,31.5
2076,47,Female,Marketing,Manager,3,3,3,3,3,14,3,4,No,7849,24,No,0,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.06778327467506809,6.8
2077,23,Female,Operations,Manager,1,4,1,3,1,16,6,0,No,4596,2,No,0,"(18, 30]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.4670229384122744,46.7
2078,56,Female,IT,Coordinator,5,3,1,2,1,12,8,1,Yes,16307,23,Yes,1,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.6764831902160798,67.6
2079,55,Male,HR,Engineer,5,4,3,4,3,14,6,2,No,14268,27,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.04796942635036353,4.8
2080,27,Female,HR,Analyst,4,2,1,1,1,5,1,5,No,8790,23,Yes,1,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(2, 5]",1,1,0,1,0.6412486926851951,64.1
2081,52,Female,HR,Coordinator,4,4,1,1,1,18,8,5,No,7720,28,Yes,1,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.48345190835129354,48.3
2082,44,Female,R&D,Executive,3,3,1,4,2,11,4,4,No,5625,13,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.3611991131838764,36.1
2083,33,Female,Marketing,Engineer,2,3,2,3,2,19,9,0,No,8423,23,No,0,"(30, 40]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.05054710522242199,5.1
2084,49,Male,Marketing,Executive,4,3,3,2,3,19,5,3,No,3160,3,No,0,"(40, 50]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.04257847938785594,4.3
2085,36,Female,Sales,Coordinator,5,2,1,1,3,6,1,1,No,19795,18,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",1,0,0,1,0.5121570776342584,51.2
2086,40,Female,Sales,Coordinator,3,3,3,1,4,8,9,5,No,7487,1,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(5, 10]",0,0,1,0,0.0354290183501932,3.5
2087,33,Female,Marketing,Specialist,5,3,4,2,4,10,6,5,No,11611,8,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",0,0,1,0,0.003975898715219671,0.4
2088,23,Female,IT,Manager,3,3,4,1,3,15,8,1,Yes,3385,1,No,0,"(18, 30]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.01251403231166133,1.3
2089,32,Male,R&D,Specialist,1,3,3,1,2,6,1,4,No,8911,2,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(5, 10]",0,1,0,0,0.07080195229456336,7.1
2090,58,Male,R&D,Manager,4,3,1,3,3,13,8,2,No,15122,15,Yes,1,"(50, 65]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,0,1,1,0.364937491326099,36.5
2091,59,Male,R&D,Analyst,1,3,3,1,3,0,4,5,No,19352,6,No,0,"(50, 65]","(15743.5, 19999.0]","(0.999, 8.0]",,0,0,1,0,0.08512791595711446,8.5
2092,46,Female,Sales,Engineer,4,3,2,1,2,19,0,2,No,8044,12,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,1,0,0,0.06312573798383181,6.3
2093,42,Male,R&D,Analyst,5,2,4,3,4,16,4,0,Yes,11377,14,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.008267155741245704,0.8
2094,57,Male,Finance,Manager,5,3,3,1,3,5,1,2,Yes,19418,23,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(2, 5]",0,0,0,1,0.1883940803433662,18.8
2095,30,Male,Finance,Coordinator,2,3,1,3,4,1,7,4,No,3246,23,No,0,"(18, 30]","(2999.999, 7292.0]","(22.0, 29.0]","(0, 2]",1,0,1,1,0.28528380565249256,28.5
2096,33,Female,Finance,Specialist,5,4,1,2,1,8,2,1,No,17774,10,Yes,1,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,1,0,0,0.5417104881552285,54.2
2097,31,Female,R&D,Manager,3,3,4,1,2,15,8,1,No,9445,2,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.007962389629973447,0.8
2098,26,Male,Finance,Coordinator,2,4,2,1,3,19,4,1,Yes,15440,13,No,0,"(18, 30]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.11530831621860532,11.5
2099,54,Female,Marketing,Analyst,3,2,4,4,3,10,2,4,No,17548,24,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(5, 10]",0,0,0,1,0.009504897152312543,1.0
2100,26,Female,IT,Coordinator,2,2,1,4,4,19,9,3,No,16962,3,Yes,1,"(18, 30]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.18584061777402608,18.6
2101,37,Female,R&D,Coordinator,3,3,2,4,1,5,0,4,No,14031,2,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(2, 5]",1,1,0,0,0.1518499944792084,15.2
2102,58,Male,IT,Analyst,2,3,3,3,2,12,3,1,Yes,7101,14,No,0,"(50, 65]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.09353249287762072,9.4
2103,58,Female,Finance,Specialist,4,3,4,1,1,11,6,1,Yes,4816,2,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.03201122961519728,3.2
2104,50,Female,R&D,Coordinator,4,3,3,1,1,14,2,2,Yes,9559,1,Yes,1,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,1,0,0,0.22878942712018918,22.9
2105,39,Male,Operations,Specialist,2,3,3,4,3,5,8,1,Yes,8423,11,No,0,"(30, 40]","(7292.0, 11588.5]","(8.0, 15.0]","(2, 5]",0,0,1,0,0.10467756362041318,10.5
2106,50,Female,HR,Coordinator,1,3,1,3,4,19,4,5,No,14830,1,Yes,1,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.2516081062816046,25.2
2107,27,Female,Operations,Coordinator,2,2,1,4,4,19,5,0,No,11611,12,No,0,"(18, 30]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.23860339891072138,23.9
2108,39,Male,HR,Analyst,1,4,2,1,3,15,6,4,No,15067,23,No,0,"(30, 40]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.05767389325687436,5.8
2109,53,Male,HR,Manager,3,3,3,3,3,19,9,2,Yes,3891,9,No,0,"(50, 65]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.09192507810916369,9.2
2110,52,Female,Finance,Manager,2,4,2,4,1,8,4,2,No,19439,14,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,1,1,0,0.13702068211656127,13.7
2111,32,Female,HR,Engineer,1,3,2,1,4,9,1,5,No,11157,22,No,0,"(30, 40]","(7292.0, 11588.5]","(15.0, 22.0]","(5, 10]",1,0,0,1,0.052927022672891434,5.3
2112,47,Female,HR,Analyst,2,3,4,4,2,5,2,3,Yes,6808,15,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(2, 5]",0,1,0,1,0.021247906661149493,2.1
2113,49,Male,Operations,Engineer,4,4,4,2,3,12,8,3,Yes,17373,8,No,0,"(40, 50]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.012264230332336121,1.2
2114,48,Male,HR,Coordinator,4,4,1,3,1,4,2,1,No,4012,28,Yes,1,"(40, 50]","(2999.999, 7292.0]","(22.0, 29.0]","(2, 5]",1,1,0,1,0.5508511331995832,55.1
2115,40,Female,R&D,Analyst,2,4,3,2,4,14,1,0,Yes,10020,14,No,0,"(30, 40]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",0,0,0,0,0.06530743261764355,6.5
2116,48,Female,IT,Engineer,2,3,2,2,3,11,7,0,Yes,15134,12,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.11297457734310505,11.3
2117,41,Female,Marketing,Executive,5,2,3,3,1,8,7,2,Yes,19524,19,No,0,"(40, 50]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",0,1,1,1,0.24088083347350997,24.1
2118,24,Female,IT,Manager,4,3,1,2,4,4,6,4,No,8699,12,Yes,1,"(18, 30]","(7292.0, 11588.5]","(8.0, 15.0]","(2, 5]",1,0,1,0,0.24966584024724395,25.0
2119,37,Male,R&D,Manager,3,3,3,4,2,11,1,3,Yes,14869,2,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,1,0,0,0.13089895462953458,13.1
2120,50,Female,Marketing,Executive,2,4,2,1,1,14,1,2,Yes,9158,18,Yes,1,"(40, 50]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",1,1,0,1,0.21882487733733214,21.9
2121,36,Male,Finance,Specialist,5,3,2,3,2,11,2,3,Yes,7235,1,No,0,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",1,1,0,0,0.12273805359747438,12.3
2122,51,Male,Marketing,Executive,2,2,3,4,1,11,9,3,Yes,5580,7,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.1679006897044592,16.8
2123,22,Male,Marketing,Manager,4,2,3,1,2,18,0,0,Yes,13490,25,No,0,"(18, 30]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",0,1,0,1,0.14577307837341621,14.6
2124,50,Female,Operations,Analyst,1,2,3,2,4,14,4,2,No,8168,3,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.038929128949578735,3.9
2125,51,Male,Marketing,Engineer,1,3,2,3,2,9,2,0,Yes,19412,20,No,0,"(50, 65]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",1,1,0,1,0.14893054971039035,14.9
2126,53,Male,Marketing,Manager,4,4,2,2,2,2,3,5,Yes,14197,18,No,0,"(50, 65]","(11588.5, 15743.5]","(15.0, 22.0]","(0, 2]",1,1,1,1,0.1668133757507103,16.7
2127,31,Female,Sales,Executive,3,3,4,1,2,11,8,0,Yes,18017,24,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,1,1,1,0.017765292302022312,1.8
2128,48,Female,IT,Analyst,5,2,2,3,4,11,6,2,Yes,18637,9,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.0705015848775162,7.1
2129,29,Male,Operations,Manager,2,3,3,4,3,17,6,4,No,9394,21,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.050359401127584455,5.0
2130,57,Female,IT,Executive,2,3,2,2,3,7,2,3,No,4511,14,No,0,"(50, 65]","(2999.999, 7292.0]","(8.0, 15.0]","(5, 10]",1,0,0,0,0.06192647366479471,6.2
